500000 29 34 25 30 29 19 27 29 30 30 26 18 18 18 18 18 18 18 18 18 18 18 18
450000 30 34 29 26 26 28 23 29 29 27 29 18 18 18 18 18 18 18 18 18 18 18 18
405000 33 27 27 30 31 28 27 26 29 25 30 18 18 18 18 18 18 18 18 18 18 18 18
364500 29 28 29 30 28 28 22 28 29 34 26 18 18 18 18 18 18 18 18 18 18 18 18
328050 29 31 30 26 27 28 27 30 34 21 29 18 18 18 18 18 18 18 18 18 18 18 18
295245 33 31 25 28 25 29 28 25 26 28 29 18 18 18 18 18 18 18 18 18 18 18 18
265720 28 29 28 29 27 30 21 28 28 30 29 18 18 18 18 18 18 18 18 18 18 18 18
239148 32 28 28 30 29 29 27 23 24 29 29 18 18 18 18 18 18 18 18 18 18 18 18
215233 31 30 31 29 26 25 30 27 26 26 31 18 18 18 18 18 18 18 18 18 18 18 18
193709 34 29 30 31 28 26 22 26 28 28 30 18 18 18 18 18 18 18 18 18 18 18 18
174338 29 28 32 26 27 24 27 26 25 32 29 18 18 18 18 18 18 18 18 18 18 18 18
156904 32 31 32 28 24 27 28 25 30 26 27 18 18 18 18 18 18 18 18 18 18 18 18
141213 32 29 31 31 28 24 25 27 28 32 24 18 18 18 18 18 18 18 18 18 18 18 18
127091 34 32 30 25 24 25 31 23 26 29 31 18 18 18 18 18 18 18 18 18 18 18 18
114381 34 28 32 28 26 21 26 31 25 25 33 18 18 18 18 18 18 18 18 18 18 18 18
102942 32 32 29 31 21 26 22 26 27 30 31 18 18 18 18 18 18 18 18 18 18 18 18
92647 33 30 32 25 26 28 28 24 24 28 34 18 18 18 18 18 18 18 18 18 18 18 18
83382 31 33 29 28 20 23 23 32 21 27 30 18 18 18 18 18 18 18 18 18 18 18 18
75043 36 30 32 28 28 25 23 23 28 32 31 18 18 18 18 18 18 18 18 18 18 18 18
67538 32 31 28 24 26 28 27 22 27 24 33 18 18 18 18 18 18 18 18 18 18 18 18
60784 32 34 30 22 20 27 27 28 24 30 30 18 18 18 18 18 18 18 18 18 18 18 18
54705 35 30 34 22 21 26 28 20 25 32 31 18 18 18 18 18 18 18 18 18 18 18 18
49234 33 31 30 29 27 22 29 26 24 28 29 18 18 18 18 18 18 18 18 18 18 18 18
44310 36 33 34 26 24 23 28 21 25 29 34 18 18 18 18 18 18 18 18 18 18 18 18
39879 35 35 28 23 28 24 21 23 28 31 32 18 18 18 18 18 18 18 18 18 18 18 18
35891 36 32 33 24 26 26 24 20 26 28 33 18 18 18 18 18 18 18 18 18 18 18 18
32301 33 34 29 28 26 21 25 23 27 30 31 18 18 18 18 18 18 18 18 18 18 18 18
29070 34 35 32 25 22 23 24 26 27 29 32 18 18 18 18 18 18 18 18 18 18 18 18
26163 36 35 31 26 21 22 26 26 29 27 33 18 18 18 18 18 18 18 18 18 18 18 18
