500000 28 28 29 31 28 25 27 30 27 29 29 18 18 18 18 18 18 18 18 18 18 18 18
450000 26 29 30 27 23 26 26 26 28 29 26 18 18 18 18 18 18 18 18 18 18 18 18
405000 30 28 31 27 25 21 29 28 26 29 28 18 18 18 18 18 18 18 18 18 18 18 18
364500 24 31 29 25 25 30 28 25 27 32 27 18 18 18 18 18 18 18 18 18 18 18 18
328050 30 29 22 28 25 28 24 26 28 29 29 18 18 18 18 18 18 18 18 18 18 18 18
295245 29 30 25 30 28 24 28 31 22 30 29 18 18 18 18 18 18 18 18 18 18 18 18
265720 28 28 27 24 27 24 28 24 27 33 25 18 18 18 18 18 18 18 18 18 18 18 18
239148 30 30 25 31 26 29 32 30 24 22 33 18 18 18 18 18 18 18 18 18 18 18 18
215233 26 29 26 29 26 29 30 23 27 28 27 18 18 18 18 18 18 18 18 18 18 18 18
193709 30 30 28 27 27 24 28 31 25 28 25 18 18 18 18 18 18 18 18 18 18 18 18
174338 30 31 25 24 26 24 28 26 31 28 30 18 18 18 18 18 18 18 18 18 18 18 18
156904 28 32 30 28 30 22 30 25 29 29 28 18 18 18 18 18 18 18 18 18 18 18 18
141213 30 27 29 28 25 29 27 27 27 27 27 18 18 18 18 18 18 18 18 18 18 18 18
127091 30 29 28 29 24 26 20 25 32 28 32 18 18 18 18 18 18 18 18 18 18 18 18
114381 29 31 28 27 25 28 22 27 25 29 30 18 18 18 18 18 18 18 18 18 18 18 18
102942 35 29 29 26 21 25 25 29 26 32 29 18 18 18 18 18 18 18 18 18 18 18 18
92647 34 29 29 24 20 23 27 28 30 28 27 18 18 18 18 18 18 18 18 18 18 18 18
83382 31 32 33 30 25 26 25 26 25 26 30 18 18 18 18 18 18 18 18 18 18 18 18
75043 33 34 28 24 22 24 22 28 24 32 34 18 18 18 18 18 18 18 18 18 18 18 18
67538 33 29 26 26 30 26 27 27 28 27 33 18 18 18 18 18 18 18 18 18 18 18 18
60784 32 30 27 25 30 26 26 23 29 30 31 18 18 18 18 18 18 18 18 18 18 18 18
54705 34 28 30 31 21 26 24 27 25 28 28 18 18 18 18 18 18 18 18 18 18 18 18
49234 36 24 31 28 28 23 29 22 25 23 32 18 18 18 18 18 18 18 18 18 18 18 18
44310 33 31 25 29 24 22 23 24 25 30 31 18 18 18 18 18 18 18 18 18 18 18 18
39879 32 34 27 24 24 24 27 27 22 29 30 18 18 18 18 18 18 18 18 18 18 18 18
35891 33 29 28 23 26 24 23 26 24 26 32 18 18 18 18 18 18 18 18 18 18 18 18
32301 32 32 27 22 26 28 23 22 26 32 34 18 18 18 18 18 18 18 18 18 18 18 18
